0.338947,0.940805,0,0,-0.940805,0.338947,0,0,0,0,1,0,0,0,0,1|2.17872e-06,-4.63269e-06,1,0,-0.338947,-0.940805,-3.61999e-06,0,0.940805,-0.338947,-3.61999e-06,0,0,0,0,1|2.17872e-06,-4.63269e-06,1,0,0.940807,-0.338943,-3.61998e-06,0,0.338943,0.940807,3.62e-06,0,0,0,0,1|2.17872e-06,-4.63269e-06,1,0,0.940807,-0.338943,-3.61998e-06,0,0.338943,0.940807,3.62e-06,0,0.0847359,0.235202,9.05001e-07,1|2.17872e-06,-4.63269e-06,1,0,0.33894,0.940808,3.62002e-06,0,-0.940808,0.33894,3.61996e-06,0,0.0847359,0.235202,9.05001e-07,1|2.17872e-06,-4.63269e-06,1,0,0.33894,0.940808,3.62002e-06,0,-0.940808,0.33894,3.61996e-06,0,-0.150466,0.319937,1.80999e-06,1||
-0.478726,0.877964,0,0,-0.877964,-0.478726,0,0,0,0,1,0,0,0,0,1|4.91121e-06,-1.44524e-06,1,0,0.478726,-0.877964,-3.61999e-06,0,0.877964,0.478726,-3.61999e-06,0,0,0,0,1|4.91121e-06,-1.44524e-06,1,0,0.877962,0.47873,-3.61998e-06,0,-0.47873,0.877962,3.62e-06,0,0,0,0,1|4.91121e-06,-1.44524e-06,1,0,0.877962,0.47873,-3.61998e-06,0,-0.47873,0.877962,3.62e-06,0,-0.119682,0.219491,9.05001e-07,1|4.91121e-06,-1.44524e-06,1,0,-0.478733,0.877961,3.62002e-06,0,-0.877961,-0.478733,3.61996e-06,0,-0.119682,0.219491,9.05001e-07,1|4.91121e-06,-1.44524e-06,1,0,-0.478733,0.877961,3.62002e-06,0,-0.877961,-0.478733,3.61996e-06,0,-0.339173,0.0998074,1.80999e-06,1||
-0.838331,0.545161,0,0,-0.545161,-0.838331,0,0,0,0,1,0,0,0,0,1|5.00823e-06,1.06127e-06,1,0,0.838331,-0.545161,-3.61999e-06,0,0.545161,0.838331,-3.61999e-06,0,0,0,0,1|5.00823e-06,1.06127e-06,1,0,0.545158,0.838333,-3.61998e-06,0,-0.838333,0.545158,3.62e-06,0,0,0,0,1|5.00823e-06,1.06127e-06,1,0,0.545158,0.838333,-3.61998e-06,0,-0.838333,0.545158,3.62e-06,0,-0.209583,0.13629,9.05001e-07,1|5.00823e-06,1.06127e-06,1,0,-0.838335,0.545155,3.62002e-06,0,-0.545155,-0.838335,3.61996e-06,0,-0.209583,0.13629,9.05001e-07,1|5.00823e-06,1.06127e-06,1,0,-0.838335,0.545155,3.62002e-06,0,-0.545155,-0.838335,3.61996e-06,0,-0.345872,-0.0732943,1.80999e-06,1||
-0.996521,-0.0833369,0,0,0.0833369,-0.996521,0,0,0,0,1,0,0,0,0,1|3.30572e-06,3.90908e-06,1,0,0.996521,0.0833369,-3.61999e-06,0,-0.0833369,0.996521,-3.61999e-06,0,0,0,0,1|3.30572e-06,3.90908e-06,1,0,-0.0833405,0.996521,-3.61998e-06,0,-0.996521,-0.0833405,3.62e-06,0,0,0,0,1|3.30572e-06,3.90908e-06,1,0,-0.0833405,0.996521,-3.61998e-06,0,-0.996521,-0.0833405,3.62e-06,0,-0.24913,-0.0208351,9.05001e-07,1|3.30572e-06,3.90908e-06,1,0,-0.996521,-0.0833442,3.62002e-06,0,0.0833442,-0.996521,3.61996e-06,0,-0.24913,-0.0208351,9.05001e-07,1|3.30572e-06,3.90908e-06,1,0,-0.996521,-0.0833442,3.62002e-06,0,0.0833442,-0.996521,3.61996e-06,0,-0.228294,-0.269965,1.80999e-06,1||
-0.898945,-0.438062,0,0,0.438062,-0.898945,0,0,0,0,1,0,0,0,0,1|1.66839e-06,4.83995e-06,1,0,0.898944,0.438062,-3.61999e-06,0,-0.438062,0.898944,-3.61999e-06,0,0,0,0,1|1.66839e-06,4.83995e-06,1,0,-0.438066,0.898943,-3.61998e-06,0,-0.898943,-0.438066,3.62e-06,0,0,0,0,1|1.66839e-06,4.83995e-06,1,0,-0.438066,0.898943,-3.61998e-06,0,-0.898943,-0.438066,3.62e-06,0,-0.224736,-0.109516,9.05001e-07,1|1.66839e-06,4.83995e-06,1,0,-0.898941,-0.438069,3.62002e-06,0,0.438069,-0.898941,3.61996e-06,0,-0.224736,-0.109516,9.05001e-07,1|1.66839e-06,4.83995e-06,1,0,-0.898941,-0.438069,3.62002e-06,0,0.438069,-0.898941,3.61996e-06,0,-0.115218,-0.334252,1.80999e-06,1||
-0.0772535,-0.997011,0,0,0.997011,-0.0772535,0,0,0,0,1,0,0,0,0,1|-3.32951e-06,3.88883e-06,1,0,0.0772535,0.997011,-3.61999e-06,0,-0.997011,0.0772535,-3.61999e-06,0,0,0,0,1|-3.32951e-06,3.88883e-06,1,0,-0.997012,0.0772499,-3.61998e-06,0,-0.0772499,-0.997012,3.62e-06,0,0,0,0,1|-3.32951e-06,3.88883e-06,1,0,-0.997012,0.0772499,-3.61998e-06,0,-0.0772499,-0.997012,3.62e-06,0,-0.0193125,-0.249253,9.05001e-07,1|-3.32951e-06,3.88883e-06,1,0,-0.0772463,-0.997012,3.62002e-06,0,0.997012,-0.0772463,3.61996e-06,0,-0.0193125,-0.249253,9.05001e-07,1|-3.32951e-06,3.88883e-06,1,0,-0.0772463,-0.997012,3.62002e-06,0,0.997012,-0.0772463,3.61996e-06,0,0.229941,-0.268565,1.80999e-06,1||
0.42384,-0.905737,0,0,0.905737,0.42384,0,0,0,0,1,0,0,0,0,1|-4.81306e-06,1.74446e-06,1,0,-0.42384,0.905737,-3.61999e-06,0,-0.905737,-0.42384,-3.61999e-06,0,0,0,0,1|-4.81306e-06,1.74446e-06,1,0,-0.905735,-0.423844,-3.61998e-06,0,0.423844,-0.905735,3.62e-06,0,0,0,0,1|-4.81306e-06,1.74446e-06,1,0,-0.905735,-0.423844,-3.61998e-06,0,0.423844,-0.905735,3.62e-06,0,0.105961,-0.226434,9.05001e-07,1|-4.81306e-06,1.74446e-06,1,0,0.423847,-0.905734,3.62002e-06,0,0.905734,0.423847,3.61996e-06,0,0.105961,-0.226434,9.05001e-07,1|-4.81306e-06,1.74446e-06,1,0,0.423847,-0.905734,3.62002e-06,0,0.905734,0.423847,3.61996e-06,0,0.332394,-0.120472,1.80999e-06,1||
0.887871,-0.460093,0,0,0.460093,0.887871,0,0,0,0,1,0,0,0,0,1|-4.87962e-06,-1.54855e-06,1,0,-0.887871,0.460093,-3.61999e-06,0,-0.460093,-0.887871,-3.61999e-06,0,0,0,0,1|-4.87962e-06,-1.54855e-06,1,0,-0.46009,-0.887872,-3.61998e-06,0,0.887872,-0.46009,3.62e-06,0,0,0,0,1|-4.87962e-06,-1.54855e-06,1,0,-0.46009,-0.887872,-3.61998e-06,0,0.887872,-0.46009,3.62e-06,0,0.221968,-0.115022,9.05001e-07,1|-4.87961e-06,-1.54855e-06,1,0,0.887874,-0.460087,3.62002e-06,0,0.460087,0.887874,3.61996e-06,0,0.221968,-0.115022,9.05001e-07,1|-4.87961e-06,-1.54855e-06,1,0,0.887874,-0.460087,3.62002e-06,0,0.460087,0.887874,3.61996e-06,0,0.33699,0.106946,1.80999e-06,1||
0.981641,0.190739,0,0,-0.190739,0.981641,0,0,0,0,1,0,0,0,0,1|-2.86306e-06,-4.244e-06,1,0,-0.981641,-0.190739,-3.61999e-06,0,0.190739,-0.981641,-3.61999e-06,0,0,0,0,1|-2.86306e-06,-4.244e-06,1,0,0.190743,-0.98164,-3.61998e-06,0,0.98164,0.190743,3.62e-06,0,0,0,0,1|-2.86306e-06,-4.244e-06,1,0,0.190743,-0.98164,-3.61998e-06,0,0.98164,0.190743,3.62e-06,0,0.24541,0.0476857,9.05001e-07,1|-2.86305e-06,-4.244e-06,1,0,0.981639,0.190746,3.62002e-06,0,-0.190746,0.981639,3.61996e-06,0,0.24541,0.0476857,9.05001e-07,1|-2.86305e-06,-4.244e-06,1,0,0.981639,0.190746,3.62002e-06,0,-0.190746,0.981639,3.61996e-06,0,0.197723,0.293096,1.80999e-06,1||
0.64335,0.765573,0,0,-0.765573,0.64335,0,0,0,0,1,0,0,0,0,1|4.42446e-07,-5.10028e-06,1,0,-0.64335,-0.765572,-3.61999e-06,0,0.765572,-0.64335,-3.61999e-06,0,0,0,0,1|4.42446e-07,-5.10028e-06,1,0,0.765575,-0.643347,-3.61998e-06,0,0.643347,0.765575,3.62e-06,0,0,0,0,1|4.42446e-07,-5.10028e-06,1,0,0.765575,-0.643347,-3.61998e-06,0,0.643347,0.765575,3.62e-06,0,0.160837,0.191394,9.05001e-07,1|4.42446e-07,-5.10028e-06,1,0,0.643344,0.765577,3.62002e-06,0,-0.765577,0.643344,3.61996e-06,0,0.160837,0.191394,9.05001e-07,1|4.42446e-07,-5.10028e-06,1,0,0.643344,0.765577,3.62002e-06,0,-0.765577,0.643344,3.61996e-06,0,-0.0305576,0.35223,1.80999e-06,1||
0.64335,0.765573,0,0,-0.765573,0.64335,0,0,0,0,1,0,0,0,0,1|-0.311257,-0.370394,0.875173,0,-0.563043,-0.670007,-0.48381,0,0.765573,-0.64335,-3.61999e-06,0,0,0,0,1|-0.311257,-0.370394,0.875173,0,0.765575,-0.643347,-1.8686e-06,0,0.563041,0.670009,0.48381,0,0,0,0,1|-0.311257,-0.370394,0.875173,0,0.765575,-0.643347,-1.8686e-06,0,0.563041,0.670009,0.48381,0,0.14076,0.167502,0.120953,1|-0.311257,-0.370394,0.875173,0,0.563038,0.670012,0.48381,0,-0.765577,0.643345,1.17212e-07,0,0.14076,0.167502,0.120953,1|-0.311257,-0.370394,0.875173,0,0.563038,0.670012,0.48381,0,-0.765577,0.643345,1.17212e-07,0,-0.050634,0.328339,0.120953,1||
0.64335,0.765573,0,0,-0.765573,0.64335,0,0,0,0,1,0,0,0,0,1|-0.618152,-0.73559,0.277118,0,-0.178287,-0.212152,-0.960836,0,0.765572,-0.64335,-3.61999e-06,0,0,0,0,1|-0.618152,-0.73559,0.277118,0,0.765573,-0.643349,-1.41774e-07,0,0.178284,0.212154,0.960836,0,0,0,0,1|-0.618152,-0.73559,0.277118,0,0.765573,-0.643349,-1.41774e-07,0,0.178284,0.212154,0.960836,0,0.044571,0.0530386,0.240209,1|-0.618152,-0.73559,0.277118,0,0.178281,0.212157,0.960836,0,-0.765574,0.643348,-3.33644e-06,0,0.044571,0.0530386,0.240209,1|-0.618152,-0.73559,0.277118,0,0.178281,0.212157,0.960836,0,-0.765574,0.643348,-3.33644e-06,0,-0.146822,0.213876,0.240208,1||
0.64335,0.765573,0,0,-0.765573,0.64335,0,0,0,0,1,0,0,0,0,1|-0.596448,-0.709759,-0.374823,0,0.24114,0.286956,-0.927096,0,0.765573,-0.64335,-3.61999e-06,0,0,0,0,1|-0.596448,-0.709759,-0.374823,0,0.765572,-0.643351,-2.6391e-07,0,-0.241142,-0.286954,0.927096,0,0,0,0,1|-0.596448,-0.709759,-0.374823,0,0.765572,-0.643351,-2.6391e-07,0,-0.241142,-0.286954,0.927096,0,-0.0602856,-0.0717385,0.231774,1|-0.596448,-0.709759,-0.374823,0,-0.241145,-0.286952,0.927096,0,-0.765571,0.643352,-3.09217e-06,0,-0.0602856,-0.0717385,0.231774,1|-0.596448,-0.709759,-0.374823,0,-0.241145,-0.286952,0.927096,0,-0.765571,0.643352,-3.09217e-06,0,-0.251678,0.0890994,0.231773,1||
0.64335,0.765573,0,0,-0.765573,0.64335,0,0,0,0,1,0,0,0,0,1|-0.36675,-0.43642,-0.821603,0,0.528577,0.628998,-0.57006,0,0.765573,-0.64335,-3.61999e-06,0,0,0,0,1|-0.36675,-0.43642,-0.821603,0,0.765571,-0.643352,-1.55638e-06,0,-0.528579,-0.628996,0.57006,0,0,0,0,1|-0.36675,-0.43642,-0.821603,0,0.765571,-0.643352,-1.55638e-06,0,-0.528579,-0.628996,0.57006,0,-0.132145,-0.157249,0.142515,1|-0.36675,-0.43642,-0.821603,0,-0.528582,-0.628994,0.57006,0,-0.765569,0.643354,-5.0723e-07,0,-0.132145,-0.157249,0.142515,1|-0.36675,-0.43642,-0.821603,0,-0.528582,-0.628994,0.57006,0,-0.765569,0.643354,-5.0723e-07,0,-0.323537,0.00358956,0.142515,1||
0.64335,0.765573,0,0,-0.765573,0.64335,0,0,0,0,1,0,0,0,0,1|-0.0524202,-0.0623734,-0.996675,0,0.64121,0.763027,-0.0814759,0,0.765572,-0.64335,-3.61999e-06,0,0,0,0,1|-0.0524202,-0.0623734,-0.996675,0,0.76557,-0.643352,-3.32505e-06,0,-0.641213,-0.763025,0.0814759,0,0,0,0,1|-0.0524202,-0.0623734,-0.996675,0,0.76557,-0.643352,-3.32505e-06,0,-0.641213,-0.763025,0.0814759,0,-0.160303,-0.190756,0.020369,1|-0.0524202,-0.0623734,-0.996675,0,-0.641216,-0.763023,0.0814759,0,-0.765568,0.643355,3.03011e-06,0,-0.160303,-0.190756,0.020369,1|-0.0524202,-0.0623734,-0.996675,0,-0.641216,-0.763023,0.0814759,0,-0.765568,0.643355,3.03011e-06,0,-0.351695,-0.0299175,0.0203697,1||
